               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080467,            0.021117,            0.012692,             0.76267,             0.27205,             0.23873,            0.082998,            0.058312,            0.010914,            0.005011,            0.070169,           0.0033145,           0.0033145
                   1,            0.059176,            0.014568,            0.005876,             0.77988,              0.3362,              0.2964,             0.10556,            0.053371,           0.0077669,           0.0034852,             0.03984,           0.0063188,           0.0063188
                   2,            0.055258,            0.011302,           0.0037428,             0.82835,             0.34593,             0.39179,             0.13891,            0.053492,           0.0062544,           0.0022392,           0.0091814,            0.008993,            0.008993
                   3,            0.050301,           0.0098794,           0.0027383,             0.36304,             0.53585,             0.44882,             0.17659,            0.049358,           0.0060056,           0.0016474,            0.008515,            0.008515,            0.008515
                   4,            0.046599,            0.009396,           0.0023215,             0.63772,              0.4992,             0.55942,             0.23776,            0.046954,            0.005895,           0.0017259,            0.008515,            0.008515,            0.008515
                   5,            0.044495,           0.0090974,           0.0020679,             0.50672,             0.52956,             0.52667,             0.20032,            0.051559,           0.0063529,           0.0022637,             0.00802,             0.00802,             0.00802
                   6,            0.042754,           0.0089697,           0.0018471,             0.75131,             0.67434,             0.72615,             0.37037,            0.037842,           0.0053523,          0.00075674,            0.007525,            0.007525,            0.007525
                   7,            0.041396,           0.0085514,           0.0012964,             0.74977,             0.69476,             0.77386,             0.37025,            0.039041,            0.005224,          0.00075531,             0.00703,             0.00703,             0.00703
                   8,            0.040018,           0.0084751,           0.0012813,             0.77222,             0.74238,             0.80414,             0.41137,            0.038037,           0.0052381,          0.00070426,            0.006535,            0.006535,            0.006535
                   9,            0.038946,           0.0081859,          0.00088067,             0.89862,             0.73288,             0.82843,             0.40718,            0.037001,           0.0050736,          0.00041159,             0.00604,             0.00604,             0.00604
                  10,            0.037824,           0.0080224,          0.00085788,              0.7068,              0.7323,             0.77556,             0.40594,             0.03603,           0.0050793,          0.00047894,            0.005545,            0.005545,            0.005545
                  11,            0.037264,           0.0077958,          0.00074933,             0.90978,             0.70125,             0.84875,             0.43415,            0.035972,           0.0049059,          0.00035303,             0.00505,             0.00505,             0.00505
                  12,            0.036278,            0.007933,          0.00062914,             0.90598,             0.85294,             0.90609,              0.4835,            0.035818,           0.0049236,          0.00027816,            0.004555,            0.004555,            0.004555
                  13,            0.034989,           0.0076514,           0.0004506,             0.82831,             0.82463,             0.89004,             0.48419,            0.035151,           0.0049032,          0.00025014,             0.00406,             0.00406,             0.00406
                  14,            0.035025,           0.0076649,          0.00064947,             0.88784,             0.81379,             0.90474,             0.47449,            0.034598,           0.0048645,          0.00023921,            0.003565,            0.003565,            0.003565
                  15,            0.034424,           0.0074127,          0.00053853,             0.83143,               0.889,             0.91063,             0.51177,            0.035006,           0.0048095,          0.00021686,             0.00307,             0.00307,             0.00307
                  16,            0.033878,           0.0075197,           0.0005022,             0.87633,             0.85096,             0.91288,             0.49689,            0.033939,           0.0048117,          0.00019896,            0.002575,            0.002575,            0.002575
                  17,            0.033471,           0.0071991,           0.0005066,             0.92521,             0.83288,             0.90959,             0.48221,             0.03403,           0.0047963,          0.00016724,             0.00208,             0.00208,             0.00208
                  18,            0.032666,           0.0072384,           0.0003426,             0.87429,              0.8596,             0.92026,             0.53725,            0.033857,            0.004755,          0.00015099,            0.001585,            0.001585,            0.001585
                  19,            0.032346,           0.0073071,          0.00027979,             0.90555,              0.8756,             0.92974,             0.53808,            0.032884,           0.0046785,          0.00012512,             0.00109,             0.00109,             0.00109
