               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080737,            0.021025,            0.012605,             0.75877,             0.27712,             0.24739,             0.08877,            0.056139,            0.010935,           0.0042544,            0.070169,           0.0033145,           0.0033145
                   1,            0.060086,            0.014606,            0.005452,             0.78437,             0.29363,             0.30342,             0.10413,             0.05085,           0.0083358,           0.0029639,             0.03984,           0.0063188,           0.0063188
                   2,            0.055251,            0.011488,             0.00351,             0.43124,             0.68171,             0.57429,             0.25647,            0.048206,           0.0062942,           0.0018415,           0.0091814,            0.008993,            0.008993
                   3,            0.050551,           0.0099184,           0.0027165,             0.53742,             0.59148,             0.63834,             0.28893,            0.044685,           0.0064758,           0.0015057,            0.008515,            0.008515,            0.008515
                   4,            0.046495,           0.0093388,           0.0020405,             0.60354,             0.62016,             0.68427,             0.32426,            0.041181,           0.0056831,           0.0014336,            0.008515,            0.008515,            0.008515
                   5,            0.044622,           0.0088952,           0.0017198,             0.71833,             0.69122,             0.77145,             0.31496,            0.045241,           0.0054268,           0.0017516,             0.00802,             0.00802,             0.00802
                   6,            0.042249,           0.0087872,           0.0017934,              0.5163,             0.70891,             0.65806,             0.31871,            0.039645,           0.0055927,           0.0009394,            0.007525,            0.007525,            0.007525
                   7,            0.041073,           0.0084652,           0.0011015,             0.58428,             0.69557,              0.6575,             0.30113,            0.039868,           0.0054418,          0.00074118,             0.00703,             0.00703,             0.00703
                   8,            0.040068,            0.008586,           0.0013983,             0.79527,             0.66747,             0.74615,             0.35869,            0.037987,           0.0053019,          0.00090572,            0.006535,            0.006535,            0.006535
                   9,            0.038754,           0.0081685,          0.00099312,             0.68737,             0.83658,              0.8469,              0.4163,            0.037319,            0.005312,          0.00037588,             0.00604,             0.00604,             0.00604
                  10,            0.037735,           0.0080718,          0.00068144,             0.66217,             0.92614,              0.8367,             0.42583,            0.036351,           0.0050981,          0.00038808,            0.005545,            0.005545,            0.005545
                  11,            0.036898,           0.0078253,          0.00069114,              0.8157,             0.86751,              0.8622,             0.45327,            0.035798,           0.0049533,          0.00044132,             0.00505,             0.00505,             0.00505
                  12,            0.036499,           0.0079488,          0.00062079,             0.81422,             0.81734,             0.86533,             0.42162,            0.035182,           0.0049015,          0.00027657,            0.004555,            0.004555,            0.004555
                  13,            0.035058,           0.0077418,          0.00054017,             0.83959,             0.87716,             0.90346,             0.52211,            0.035606,           0.0049692,          0.00022473,             0.00406,             0.00406,             0.00406
                  14,            0.035303,           0.0077647,          0.00065188,              0.8729,             0.80369,             0.90369,             0.50546,             0.03466,           0.0048787,          0.00021493,            0.003565,            0.003565,            0.003565
                  15,            0.034534,           0.0074741,          0.00041157,             0.85857,             0.87869,             0.92308,             0.51571,            0.035035,            0.004835,          0.00017645,             0.00307,             0.00307,             0.00307
                  16,            0.033945,           0.0074679,          0.00046276,             0.80701,             0.89275,             0.89312,             0.51932,            0.034026,           0.0047871,          0.00016991,            0.002575,            0.002575,            0.002575
                  17,            0.033337,           0.0072002,            0.000412,             0.88582,             0.88544,             0.92493,             0.55553,            0.034399,           0.0047223,          0.00016497,             0.00208,             0.00208,             0.00208
                  18,            0.032813,           0.0072684,           0.0003004,             0.87881,             0.85445,             0.91864,             0.54008,            0.033953,           0.0046797,          0.00014588,            0.001585,            0.001585,            0.001585
                  19,            0.032393,           0.0072974,          0.00023178,             0.85518,             0.88844,             0.92361,              0.5769,            0.033282,           0.0046951,          0.00012087,             0.00109,             0.00109,             0.00109
