               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085465,            0.021815,            0.014673,             0.54619,            0.013746,           0.0065233,           0.0017204,            0.095347,           0.0099655,            0.012166,            0.070169,           0.0033145,           0.0033145
                   1,            0.061149,            0.016051,           0.0070569,             0.62278,            0.010309,            0.014089,           0.0037192,             0.10124,           0.0097106,            0.015456,             0.03984,           0.0063188,           0.0063188
                   2,             0.05731,            0.012916,           0.0047494,             0.72221,            0.050398,            0.046597,            0.017165,            0.095519,            0.010361,            0.015098,           0.0091814,            0.008993,            0.008993
                   3,            0.053549,            0.011557,           0.0035449,              0.7166,            0.031956,            0.033434,            0.013619,             0.09309,            0.013506,            0.010508,            0.008515,            0.008515,            0.008515
                   4,            0.049769,            0.010737,           0.0025855,             0.82993,            0.045554,            0.067656,            0.028765,            0.094508,            0.012688,            0.029867,            0.008515,            0.008515,            0.008515
                   5,            0.047262,             0.01048,           0.0023119,             0.20597,            0.057847,            0.066327,            0.029619,            0.090527,            0.011983,            0.012676,             0.00802,             0.00802,             0.00802
                   6,            0.045053,            0.010291,             0.00194,             0.76561,            0.037801,            0.053723,            0.025893,              0.0922,            0.014005,            0.015002,            0.007525,            0.007525,            0.007525
                   7,            0.043686,           0.0098021,           0.0014881,             0.79843,            0.042383,            0.059951,            0.025948,            0.093106,            0.014621,            0.019756,             0.00703,             0.00703,             0.00703
                   8,            0.042766,           0.0098843,           0.0015795,             0.78903,            0.048649,            0.069064,            0.032402,            0.087658,            0.015064,            0.016048,            0.006535,            0.006535,            0.006535
                   9,            0.041997,           0.0095475,           0.0012675,             0.80871,            0.039519,            0.059388,            0.027561,            0.087312,            0.016048,            0.017837,             0.00604,             0.00604,             0.00604
                  10,            0.041004,           0.0093346,           0.0013362,             0.76086,            0.070447,            0.080549,            0.039105,             0.08769,            0.012282,           0.0072709,            0.005545,            0.005545,            0.005545
                  11,            0.040611,           0.0091519,          0.00094345,             0.83443,            0.040664,            0.065197,            0.029587,             0.08535,            0.015713,            0.010457,             0.00505,             0.00505,             0.00505
                  12,            0.039094,           0.0092012,          0.00090401,             0.82028,            0.040092,            0.056956,             0.02721,            0.086355,            0.015119,           0.0093757,            0.004555,            0.004555,            0.004555
                  13,            0.038545,            0.008926,          0.00082444,              0.8454,            0.042383,            0.065351,            0.032537,            0.090059,            0.015371,            0.013469,             0.00406,             0.00406,             0.00406
                  14,            0.038632,            0.008945,          0.00089182,             0.23022,             0.08992,             0.10703,            0.050932,            0.078889,            0.014134,            0.010436,            0.003565,            0.003565,            0.003565
                  15,            0.037626,           0.0086617,          0.00073567,             0.76204,            0.064147,            0.082572,            0.039658,            0.084678,            0.014012,            0.012949,             0.00307,             0.00307,             0.00307
                  16,            0.036904,           0.0086713,          0.00093843,             0.23904,             0.07732,             0.11219,            0.057037,            0.084534,            0.015112,            0.012616,            0.002575,            0.002575,            0.002575
                  17,            0.036243,           0.0083274,           0.0005748,             0.82514,            0.060137,             0.10702,            0.051817,            0.084082,            0.014916,            0.012898,             0.00208,             0.00208,             0.00208
                  18,            0.035722,           0.0083751,          0.00068612,             0.84639,            0.052692,            0.092091,            0.047252,             0.08872,            0.014589,            0.013101,            0.001585,            0.001585,            0.001585
                  19,            0.035223,           0.0083948,          0.00042946,             0.68095,            0.079038,             0.10219,            0.051025,            0.089312,            0.014219,            0.012849,             0.00109,             0.00109,             0.00109
