               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073528,            0.020653,            0.012435,             0.72268,              0.2669,             0.23111,            0.076161,             0.05304,            0.010653,           0.0049327,            0.070169,           0.0033145,           0.0033145
                   1,            0.054532,            0.013966,           0.0054819,             0.76686,             0.33906,             0.27285,             0.10041,            0.051196,           0.0076317,           0.0031142,             0.03984,           0.0063188,           0.0063188
                   2,            0.050387,            0.011027,           0.0033729,              0.3767,             0.54948,             0.40507,             0.15634,            0.047247,           0.0058412,           0.0016196,           0.0091814,            0.008993,            0.008993
                   3,            0.045478,           0.0096206,           0.0025731,             0.46894,             0.52245,             0.52241,             0.21021,            0.040217,           0.0061978,           0.0019744,            0.008515,            0.008515,            0.008515
                   4,            0.041993,           0.0093433,           0.0024358,             0.43689,             0.49989,             0.48384,             0.21536,            0.040796,           0.0063208,           0.0020701,            0.008515,            0.008515,            0.008515
                   5,             0.04027,            0.008934,           0.0018263,             0.58992,             0.71283,             0.64611,             0.28348,            0.037733,           0.0056078,          0.00089839,             0.00802,             0.00802,             0.00802
                   6,            0.038039,           0.0088189,            0.001675,             0.71475,             0.73253,             0.77429,             0.38428,            0.035258,           0.0053723,          0.00097932,            0.007525,            0.007525,            0.007525
                   7,            0.036909,           0.0084279,           0.0012662,             0.74848,             0.64651,             0.72369,             0.35697,            0.034436,           0.0052704,          0.00055043,             0.00703,             0.00703,             0.00703
                   8,            0.035546,           0.0084534,           0.0011075,             0.78205,             0.68681,             0.75379,              0.3852,            0.034422,           0.0052836,          0.00078796,            0.006535,            0.006535,            0.006535
                   9,            0.034983,           0.0081833,           0.0010097,             0.83249,             0.75681,             0.86553,             0.43941,             0.03324,            0.005151,          0.00068924,             0.00604,             0.00604,             0.00604
                  10,            0.034113,           0.0080542,             0.00097,             0.83639,             0.76449,             0.85795,             0.45264,            0.033019,           0.0051162,          0.00041441,            0.005545,            0.005545,            0.005545
                  11,            0.033495,           0.0078593,          0.00081899,             0.81779,             0.78614,              0.8513,             0.45217,            0.032582,           0.0050886,          0.00030296,             0.00505,             0.00505,             0.00505
                  12,            0.032827,           0.0079106,           0.0006505,             0.85012,             0.80066,             0.88087,             0.45356,            0.032256,           0.0048792,          0.00024653,            0.004555,            0.004555,            0.004555
                  13,            0.031556,           0.0076929,          0.00048744,             0.80478,             0.80889,             0.88256,             0.48728,             0.03185,           0.0049083,          0.00022044,             0.00406,             0.00406,             0.00406
                  14,            0.031668,           0.0077123,          0.00068282,             0.88211,             0.83256,             0.88648,             0.47425,            0.031312,           0.0048372,          0.00020407,            0.003565,            0.003565,            0.003565
                  15,            0.031243,            0.007443,          0.00040265,              0.8575,             0.88843,             0.92369,             0.52642,            0.031215,           0.0047711,          0.00023434,             0.00307,             0.00307,             0.00307
                  16,            0.030499,           0.0074146,          0.00039267,             0.87943,             0.83273,              0.9135,             0.49299,            0.030557,           0.0047778,          0.00017628,            0.002575,            0.002575,            0.002575
                  17,            0.030124,           0.0071821,          0.00041839,              0.9122,             0.88898,             0.92025,             0.51561,            0.030514,           0.0047834,          0.00017489,             0.00208,             0.00208,             0.00208
                  18,            0.029465,           0.0072064,          0.00031974,             0.87362,             0.90069,             0.91735,              0.5333,            0.030234,           0.0047027,          0.00013835,            0.001585,            0.001585,            0.001585
                  19,            0.029182,           0.0072443,          0.00019569,             0.89387,             0.87718,             0.92627,             0.55528,            0.029909,           0.0047142,           0.0001191,             0.00109,             0.00109,             0.00109
